dataSplit,map,shuffle,reduce,dataCombine,dataLocality,networkFault,networkTraffic,CPUusage,Musage,makespan
0.52964777,0.681015,0.67126626,0.9777017,0.8982634,0,1,0.3906613,0.4190185,0.884345,0.60513395
0.5865632,0.5413092,0.70834124,0.95616454,0.8078307,0,1,0.56789845,0.5786348,0.7960696,0.5363554
0.69589114,0.46282217,0.8637484,0.9791638,0.872239,1,0,0.69611,0.69942665,0.8407243,0.35835335
0.66969216,0.3817276,0.8603256,0.96476823,0.8382095,1,0,0.7328881,0.71993595,0.7631205,0.3670523
0.65775245,0.35708863,0.8046343,0.9348457,0.75807136,1,0,0.6978697,0.72049576,0.7313747,0.36529624
0.58162886,0.60995716,0.67747456,0.9598131,0.8271369,0,1,0.50917625,0.49817264,0.8258611,0.5140709
0.6551539,0.43838325,0.8123114,0.9405654,0.8014849,1,0,0.70846397,0.68983394,0.7428537,0.37465692
0.73862267,0.41036507,0.88856816,0.98676926,0.89582944,1,0,0.74723315,0.71793705,0.8594722,0.31125408
0.206341,0.96602976,0.13374884,0.9688748,0.9422126,0,1,0.044512685,0.06391677,0.946682,0.93591344
0.4070831,0.79703367,0.4387857,0.93844646,0.8612593,0,1,0.23035944,0.2793204,0.8702269,0.73520064
0.39304975,0.8857174,0.38132295,0.98627895,0.9163983,0,1,0.16222978,0.19188704,0.93142873,0.77747726
0.6236907,0.5553287,0.7577069,0.9663555,0.8623687,1,1,0.58552736,0.5560353,0.8408695,0.46283704
0.631571,0.51153404,0.8042058,0.9790912,0.88681424,1,0,0.607049,0.63410944,0.84037,0.46160826
0.5194714,0.6486375,0.66177636,0.97308546,0.8583739,0,1,0.4654264,0.4424136,0.83792484,0.6106367
0.59135103,0.542376,0.7514877,0.96770775,0.86634076,0,1,0.54893184,0.58212405,0.8337368,0.5238147
0.26779202,0.93535453,0.19605769,0.94740236,0.90909916,0,1,0.08629639,0.10361144,0.91281587,0.8917702
0.5302749,0.6621768,0.62770146,0.95302546,0.86667424,0,1,0.42440766,0.411263,0.837985,0.5632615
0.39925164,0.88444704,0.4042669,0.98624134,0.9416889,0,1,0.15984212,0.20906302,0.944577,0.81612843
0.3750636,0.8523098,0.38062003,0.9406935,0.89192414,0,1,0.20813,0.19629383,0.88109744,0.7975338
0.3725314,0.8007263,0.4066385,0.9584435,0.9064336,0,1,0.20909357,0.23576243,0.8752809,0.7798163
0.17818564,0.96662855,0.11203647,0.9637041,0.94201875,0,1,0.036558256,0.04844452,0.9416054,0.9420632
0.20401572,0.9622494,0.14159073,0.98283416,0.966323,0,1,0.036471643,0.062366277,0.9597021,0.95190495
0.6341372,0.44529584,0.7966268,0.97088385,0.85398054,1,0,0.606964,0.68101364,0.8043044,0.48415634
0.4279468,0.83918196,0.44369355,0.9632361,0.88482904,0,1,0.24058753,0.26672944,0.89469606,0.74294883
0.7536827,0.23298508,0.91656876,0.9621346,0.7720298,1,0,0.8546799,0.8453998,0.67420095,0.23601994
0.56206596,0.59099025,0.7308566,0.9639406,0.8858634,0,1,0.5024964,0.5544506,0.84567624,0.57427144
0.389789,0.8921271,0.37871575,0.9697799,0.91110754,0,1,0.17459022,0.20395654,0.9238202,0.8091793
0.3657356,0.8330757,0.35733402,0.9532611,0.90419096,0,1,0.15726964,0.21489723,0.89080083,0.79339445
0.41461733,0.7821115,0.39542282,0.9355886,0.8344955,0,1,0.27134928,0.27087528,0.8278471,0.7179452
0.5047843,0.66668457,0.60020226,0.97107166,0.8992293,0,1,0.35066572,0.43151402,0.8582761,0.6504339
0.6415872,0.54878366,0.8381176,0.9847132,0.91600126,1,1,0.6232829,0.6379867,0.8720566,0.5048483
